2011-05-03T13:35:00,2011-05-03T14:05:30,VSA_OPNAV;40 clear filter images alternating between Vesta and Star field exposure settings
2011-05-10T07:00:00,2011-05-10T08:30:30,VSA_OPNAV_002;40 clear filter images alternating between Vesta and Star field exposure settings
2011-05-17T12:56:00,2011-05-17T13:26:30,VSA_OPNAV_003;40 clear filter images alternating between Vesta and Star field exposure settings
2011-05-26T03:33:00,2011-05-26T04:03:30,VSA_OPNAV_004;40 clear filter images alternating between Vesta and Star field exposure settings
2011-06-01T06:36:00,2011-06-01T07:06:30,VSA_OPNAV_005;40 clear filter images alternating between Vesta and Star field exposure settings
2011-06-08T15:21:00,2011-06-08T17:01:30,VSA_OPNAV_006;40 clear filter images alternating between Vesta and Star field exposure settings
2011-06-14T13:36:00,2011-06-14T14:36:30,VSA_OPNAV_007;40 clear filter images alternating between Vesta and Star field exposure settings
2011-06-17T12:36:00,2011-06-17T13:36:30,VSA_OPNAV_008;40 clear filter images alternating between Vesta and Star field exposure settings
2011-06-20T13:36:00,2011-06-20T14:36:30,VSA_OPNAV_009;40 clear filter images alternating between Vesta and Star field exposure settings
2011-06-24T04:06:00,2011-06-24T05:06:30,VSA_OPNAV_010;40 clear filter images alternating between Vesta and Star field exposure settings
2011-06-28T08:11:00,2011-06-28T10:11:30,VSA_OPNAV_011;40 clear filter images alternating between Vesta and Star field exposure settings
2011-06-30T04:51:00,2011-06-30T10:21:00,VSA_RC;Rotational characterization movie #1| 2 clear images every 8m 54s with all filters every 3rd station
2011-07-04T00:36:00,2011-07-04T02:36:30,VSA_OPNAV_013;40 clear filter images alternating between Vesta and Star field exposure settings
2011-07-09T17:35:00,2011-07-09T20:32:00,VSA_MOON_SEARCH;Operational Sphere Moon Search 1x6 Mosaic 1 
2011-07-09T20:42:00,2011-07-09T23:38:00,VSA_MOON_SEARCH_002;Operational Sphere Moon Search 1x6 Mosaic 2
2011-07-09T23:48:00,2011-07-10T05:09:00,VSA_RC_002;Rotational characterization movie #2| 2 clear images every 8m 54s with all filters every 3rd station
2011-07-10T05:21:00,2011-07-10T08:17:00,VSA_MOON_SEARCH_003;Operational Sphere Moon Search 1x6 Mosaic 3
2011-07-13T03:06:00,2011-07-13T05:06:30,VSA_OPNAV_016;40 clear filter images alternating between Vesta and Star field exposure settings
2011-07-17T03:36:00,2011-07-17T05:36:30,VSA_OPNAV_017;40 clear filter images alternating between Vesta and Star field exposure settings
2011-07-18T20:36:00,2011-07-18T22:46:30,VSA_OPNAV_018;40 clear filter images alternating between Vesta and Star field exposure settings
2011-07-23T18:15:00,2011-07-23T21:15:30,VSA_OPNAV_019;60 clear filter images (nadir) all with Vesta exposure settings
2011-07-24T06:00:00,2011-07-24T11:30:30,VSA_RC_003;Rotational characterization movie #3 (equatorial)| clear filter every 5 min| other 7 filters every 20 min
2011-07-24T20:36:31,2011-07-25T02:07:00,VSA_RC_003B;Rotational characterization movie #3b (sub-solar)| clear filter every 5 min| other 7 filters every 20 min
2011-07-26T03:33:00,2011-07-26T04:48:30,VSA_OPNAV_021;14 nadir and off-nadir images
2011-07-31T11:30:00,2011-07-31T12:45:30,VSA_OPNAV_022;15 nadir images
2011-08-06T02:43:26,2011-08-06T03:58:56,VSA_OPNAV_023;12 nadir and off-nadir images
2011-08-06T07:20:26,2011-08-06T13:01:26,VSA_C0_EQUATORIAL_MOSAIC;Eleven 1x3 equatorial mosaics  with clear and color images at every station
2011-08-11T18:12:57,2011-08-11T20:12:57,VSS_C1_OPNAV;OpNav Images (1x3 limb mosaic)
2011-08-11T20:12:57,2011-08-12T02:43:57,VSS_C1_NADIR_IMAGING;Nadir imaging with clear image every 30m + color  images every 60m
2011-08-12T03:04:00,2011-08-12T16:05:00,VSS_C1_PUSH_BROOM;VIR Pushbroom and FC2 clear filter image every 20 m + 7 color images every 60 m
2011-08-12T16:12:57,2011-08-12T16:12:57,VSS_C1_SOUTH_POLE_MOSAIC;FC2 South Pole mosaic  - Eleven 1x3 mosaics with clear and color images at each station
2011-08-14T15:07:23,2011-08-14T17:07:23,VSS_C2_OPNAV;OpNav Images (1x3 limb mosaic)
2011-08-14T17:17:23,2011-08-15T00:57:23,VSS_C2_NORTH_CUBES;12 VIR VIS+IR cubes with 10 FC images - 3 clear (start/middle/end) and 7 filters (middle) at each cube
2011-08-15T01:09:23,2011-08-15T03:10:23,VSS_C2_LIMB_IMAGING;Limb imaging with clear image every 5m
2011-08-15T10:52:23,2011-08-15T20:52:23,VSS_C2_SOUTH_CUBES;12 VIR VIS+IR cubes with 10 FC images - 3 clear (start/middle/end) and 7 filters (middle) at each cube
2011-08-15T21:02:26,2011-08-15T23:23:26,VSS_C2_SOUTH_POLE_NADIR;Clear filter only every 5 minutes
2011-08-17T12:10:25,2011-08-17T14:10:25,VSS_C3_OPNAV;OpNav Images (1x3 limb mosaic)
2011-08-17T14:18:25,2011-08-17T20:19:25,VSS_C3_LIMB_IMAGING;Limb imaging with clear image every 5m
2011-08-17T20:53:28,2011-08-18T09:54:28,VSS_C3_PUSH_BROOM;VIR Pushbroom and FC2 clear filter image every 20 m + 7 color images every 60 m
2011-08-18T10:10:25,2011-08-18T16:13:25,VSS_C3_SOUTH_POLE_MOSAIC;FC2 South Pole mosaic  - Eleven 1x3 mosaics with clear and color images at each station
2011-08-20T09:13:35,2011-08-20T11:13:35,VSS_C4_OPNAV;OpNav Images (1x3 limb mosaic)
2011-08-20T11:23:35,2011-08-20T16:35:35,VSS_C4_NORTH_CUBES;10 VIR VIS+IR cubes with 10 FC images - 3 clear (start/middle/end) and 7 filters (middle) at each cube
2011-08-20T16:41:35,2011-08-20T22:22:35,VSS_C4_EQUATORIAL_MOSAIC;FC2 equatorial mosaic  - Eleven 1x3 mosaics with clear and color images at each station
2011-08-21T05:09:35,2011-08-21T13:03:35,VSS_C4_SOUTH_CUBES;10 VIR VIS+IR cubes with 10 FC images - 3 clear (start/middle/end) and 7 filters (middle) at each cube
2011-08-23T06:07:27,2011-08-23T08:07:27,VSS_C5_OPNAV;OpNav Images (1x3 limb mosaic)
2011-08-23T08:07:27,2011-08-23T10:08:27,VSS_C5_NADIR_IMAGING;Nadir imaging with clear image every 5m
2011-08-23T10:18:27,2011-08-23T16:58:27,VSS_C5_NORTH_CUBES;12 VIR VIS+IR cubes with 3 FC images - 3 clear (start/middle/end)  at each cube
2011-08-24T01:20:27,2011-08-24T08:00:27,VSS_C5_SOUTH_CUBES;12 VIR VIS+IR cubes with 3 FC images - 3 clear (start/middle/end)  at each cube
2011-08-24T08:20:28,2011-08-24T14:51:28,VSS_C5_LIMB_IMAGING;Limb imaging with clear image every 5m
2011-08-26T02:54:13,2011-08-26T10:55:13,VSS_C6_LIMB_IMAGING_001;Limb imaging with clear image every 5m
2011-08-26T11:13:13,2011-08-26T16:25:13,VSS_C6_EQUATORIAL_CUBES;12 VIR VIS+IR cubes with 3 FC images - 3 clear (start/middle/end)  at each cube
2011-08-26T16:42:13,2011-08-26T20:43:13,VSS_C6_LIMB_IMAGING_002;Limb imaging with clear image every 5m
2011-08-26T21:03:13,2011-08-27T01:48:13,VSS_C6_SOUTH_CUBES;11 VIR VIS+IR cubes with 10 FC images - 3 clear (start/middle/end) at each cube
